,time_index,milemarker,volume,time,raw_volume,unix_time
0,0.0,53.3,2.0,0.0,2.0,1702033201.0
1,1.0,53.3,3.0,30.0,3.0,1702033231.0
2,2.0,53.3,0.0,60.0,0.0,1702033261.0
3,3.0,53.3,1.0,90.0,1.0,1702033291.0
4,4.0,53.3,1.0,120.0,1.0,1702033321.0
5,5.0,53.3,0.0,150.0,0.0,1702033351.0
6,6.0,53.3,2.0,180.0,2.0,1702033381.0
7,7.0,53.3,0.0,210.0,0.0,1702033411.0
8,8.0,53.3,0.0,240.0,0.0,1702033441.0
9,9.0,53.3,2.0,270.0,2.0,1702033471.0
10,10.0,53.3,2.0,300.0,2.0,1702033501.0
11,11.0,53.3,2.0,330.0,2.0,1702033531.0
12,12.0,53.3,2.0,360.0,2.0,1702033561.0
13,13.0,53.3,4.0,390.0,4.0,1702033591.0
14,14.0,53.3,1.0,420.0,1.0,1702033621.0
15,15.0,53.3,1.0,450.0,1.0,1702033651.0
16,16.0,53.3,1.0,480.0,1.0,1702033681.0
17,17.0,53.3,1.0,510.0,1.0,1702033711.0
18,18.0,53.3,3.0,540.0,3.0,1702033741.0
19,19.0,53.3,1.0,570.0,1.0,1702033771.0
20,20.0,53.3,0.0,600.0,0.0,1702033801.0
21,21.0,53.3,0.0,630.0,0.0,1702033831.0
22,22.0,53.3,2.0,660.0,2.0,1702033861.0
23,23.0,53.3,3.0,690.0,3.0,1702033891.0
24,24.0,53.3,1.0,720.0,1.0,1702033921.0
25,25.0,53.3,2.0,750.0,2.0,1702033951.0
26,26.0,53.3,1.0,780.0,1.0,1702033981.0
27,27.0,53.3,3.0,810.0,3.0,1702034011.0
28,28.0,53.3,1.0,840.0,1.0,1702034041.0
29,29.0,53.3,5.0,870.0,5.0,1702034071.0
30,30.0,53.3,0.0,900.0,0.0,1702034101.0
31,31.0,53.3,2.0,930.0,2.0,1702034131.0
32,32.0,53.3,2.0,960.0,2.0,1702034161.0
33,33.0,53.3,3.0,990.0,3.0,1702034191.0
34,34.0,53.3,3.0,1020.0,3.0,1702034221.0
35,35.0,53.3,3.0,1050.0,3.0,1702034251.0
36,36.0,53.3,3.0,1080.0,3.0,1702034281.0
37,37.0,53.3,0.0,1110.0,0.0,1702034311.0
38,38.0,53.3,3.0,1140.0,3.0,1702034341.0
39,39.0,53.3,5.0,1170.0,5.0,1702034371.0
40,40.0,53.3,3.0,1200.0,3.0,1702034401.0
41,41.0,53.3,2.0,1230.0,2.0,1702034431.0
42,42.0,53.3,0.0,1260.0,0.0,1702034461.0
43,43.0,53.3,2.0,1290.0,2.0,1702034491.0
44,44.0,53.3,0.0,1320.0,0.0,1702034521.0
45,45.0,53.3,1.0,1350.0,1.0,1702034551.0
46,46.0,53.3,0.0,1380.0,0.0,1702034581.0
47,47.0,53.3,1.0,1410.0,1.0,1702034611.0
48,48.0,53.3,0.0,1440.0,0.0,1702034641.0
49,49.0,53.3,1.0,1470.0,1.0,1702034671.0
50,50.0,53.3,2.0,1500.0,2.0,1702034701.0
51,51.0,53.3,5.0,1530.0,5.0,1702034731.0
52,52.0,53.3,1.0,1560.0,1.0,1702034761.0
53,53.0,53.3,2.0,1590.0,2.0,1702034791.0
54,54.0,53.3,4.0,1620.0,4.0,1702034821.0
55,55.0,53.3,2.0,1650.0,2.0,1702034851.0
56,56.0,53.3,2.0,1680.0,2.0,1702034881.0
57,57.0,53.3,3.0,1710.0,3.0,1702034911.0
58,58.0,53.3,2.0,1740.0,2.0,1702034941.0
59,59.0,53.3,1.0,1770.0,1.0,1702034971.0
60,60.0,53.3,1.0,1800.0,1.0,1702035001.0
61,61.0,53.3,1.0,1830.0,1.0,1702035031.0
62,62.0,53.3,5.0,1860.0,5.0,1702035061.0
63,63.0,53.3,1.0,1890.0,1.0,1702035091.0
64,64.0,53.3,3.0,1920.0,3.0,1702035121.0
65,65.0,53.3,0.0,1950.0,0.0,1702035151.0
66,66.0,53.3,2.0,1980.0,2.0,1702035181.0
67,67.0,53.3,2.0,2010.0,2.0,1702035211.0
68,68.0,53.3,3.0,2040.0,3.0,1702035241.0
69,69.0,53.3,1.0,2070.0,1.0,1702035271.0
70,70.0,53.3,1.0,2100.0,1.0,1702035301.0
71,71.0,53.3,3.0,2130.0,3.0,1702035331.0
72,72.0,53.3,1.0,2160.0,1.0,1702035361.0
73,73.0,53.3,0.0,2190.0,0.0,1702035391.0
74,74.0,53.3,1.0,2220.0,1.0,1702035421.0
75,75.0,53.3,0.0,2250.0,0.0,1702035451.0
