,time_index,milemarker,speed,time,raw_speed,unix_time
0,0.0,53.3,77.501419361638,0.0,75.0,1702033201.0
1,1.0,53.3,76.98877589964283,30.0,73.0,1702033231.0
2,2.0,53.3,76.38269347720995,60.0,,1702033261.0
3,3.0,53.3,75.5480408807542,90.0,83.0,1702033291.0
4,4.0,53.3,74.65995186449953,120.0,73.0,1702033321.0
5,5.0,53.3,73.77654256157899,150.0,,1702033351.0
6,6.0,53.3,73.13539355003897,180.0,67.0,1702033381.0
7,7.0,53.3,72.32891645827013,210.0,73.0,1702033411.0
8,8.0,53.3,72.23116650398387,240.0,73.0,1702033441.0
9,9.0,53.3,73.02947727324255,270.0,,1702033471.0
10,10.0,53.3,74.1841240039851,300.0,72.0,1702033501.0
11,11.0,53.3,73.79477507508898,330.0,72.0,1702033531.0
12,12.0,53.3,72.74176035434537,360.0,72.0,1702033561.0
13,13.0,53.3,72.30514589437968,390.0,83.0,1702033591.0
14,14.0,53.3,71.83402204380646,420.0,68.0,1702033621.0
15,15.0,53.3,71.18449133070568,450.0,63.0,1702033651.0
16,16.0,53.3,71.46568657890761,480.0,63.0,1702033681.0
17,17.0,53.3,70.95078062850287,510.0,75.0,1702033711.0
18,18.0,53.3,71.78580058932255,540.0,64.0,1702033741.0
19,19.0,53.3,73.07436155945169,570.0,81.0,1702033771.0
20,20.0,53.3,73.02047303999211,600.0,71.0,1702033801.0
21,21.0,53.3,73.95820903010959,630.0,76.0,1702033831.0
22,22.0,53.3,74.9903990362855,660.0,70.0,1702033861.0
23,23.0,53.3,74.8162183182357,690.0,69.0,1702033891.0
24,24.0,53.3,75.36530962352377,720.0,80.0,1702033921.0
25,25.0,53.3,75.16155937485325,750.0,82.0,1702033951.0
26,26.0,53.3,75.36836070695277,780.0,75.0,1702033981.0
27,27.0,53.3,75.43418281550802,810.0,73.0,1702034011.0
28,28.0,53.3,74.10529503916871,840.0,71.0,1702034041.0
29,29.0,53.3,73.50318562477979,870.0,77.0,1702034071.0
30,30.0,53.3,73.84677399421358,900.0,74.0,1702034101.0
31,31.0,53.3,74.45555404366014,930.0,71.0,1702034131.0
32,32.0,53.3,74.73651539607391,960.0,71.0,1702034161.0
33,33.0,53.3,74.49265417630885,990.0,78.0,1702034191.0
34,34.0,53.3,74.14882850709454,1020.0,80.0,1702034221.0
35,35.0,53.3,74.00455349607473,1050.0,75.0,1702034251.0
36,36.0,53.3,73.64818859910152,1080.0,72.0,1702034281.0
37,37.0,53.3,73.68043014228779,1110.0,69.0,1702034311.0
38,38.0,53.3,72.75431394274493,1140.0,75.0,1702034341.0
39,39.0,53.3,72.43961527098509,1170.0,67.0,1702034371.0
40,40.0,53.3,72.68070444760708,1200.0,82.0,1702034401.0
41,41.0,53.3,72.92865067573734,1230.0,67.0,1702034431.0
42,42.0,53.3,72.65137097373379,1260.0,69.0,1702034461.0
43,43.0,53.3,72.53932011909279,1290.0,68.0,1702034491.0
44,44.0,53.3,72.07582830338141,1320.0,79.0,1702034521.0
45,45.0,53.3,72.3417392328591,1350.0,69.0,1702034551.0
46,46.0,53.3,72.92790805554111,1380.0,74.0,1702034581.0
